Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53295712,"Девятый дом (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",Ли Бардуго,"=""5171210632""","=""9785171210632""",4,4.02,АСТ,Hardcover,544,2020,2019,2023/12/05,2023/11/17,,,read,"Это не так книжка, которую я типично бы читала, но мне очень понравилось. <br/>Мистика, расследование, магия. Я сняла звезду за то, что первую  треть книги мне приходилось заставлять читать себя, потому что я не понимала, что происходит совсем. Я была очень близка бросить. Но вторую половину книги я очень погружена была и прочла на одном дыхание. Потому что что-то начало складываться, скачки во времени прекратились.<br/>Мне понравилось главная героиня, она меня не бесила, что вообще-то редкость.<br/>В общем, дарк академия во всей красе. <br/><br/>Mors irrumat omnia",,,1,0
42855938,Федиатрия,Федор Катасонов,"Катасонов, Федор",,"=""""","=""""",0,4.58,ООО «Индивидуум Принт»,Paperback,271,2018,2018,,2023/11/28,,,read,,,,1,0
25408438,Тайная опора: Привязанность в жизни ребенка,Lyudmila Petranovskaya,"Petranovskaya, Lyudmila",Людмила Петрановская,"=""5170848617""","=""9785170848614""",0,4.61,"AST,Vremena 2",Hardcover,288,2014,2014,,2023/11/28,,,read,,,,1,0
63228857,"Сам секс: Как обсуждать, получать и доставлять удовольствие",Саша Казанцева,"Казанцева, Саша",,"=""5604719099""","=""9785604719091""",0,4.46,Individuum,Paperback,400,2022,,,2023/11/28,to-read,to-read (#60),to-read,,,,0,0
181856353,"Крипта: Как шифропанки, программисты и жулики сковали Россию блокчейном",Андрей  Захаров,"Захаров, Андрей",,"=""5604829625""","=""9785604829622""",0,4.19,Individuum,Paperback,288,2023,,,2023/11/28,to-read,to-read (#59),to-read,,,,0,0
55887517,"К себе нежно. Книга о том, как ценить и беречь себя",Ольга Примаченко,"Примаченко, Ольга",,"=""5041173699""","=""9785041173692""",5,4.13,Бомбора ,Hardcover,336,2020,2020,2023/11/27,2023/11/27,audio,audio (#3),read,,,,1,0
122996919,Sick Boys,Clarissa Wild,"Wild, Clarissa",,"=""""","=""""",0,3.94,,Kindle Edition,517,2023,2023,,2023/11/20,to-read,to-read (#58),to-read,,,,0,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.33,Penguin Books,Paperback,462,2019,2016,,2023/11/17,to-read,to-read (#57),to-read,,,,0,0
172956102,"Spin the Bottle (Campus Games, #2)",Stephanie Alves,"Alves, Stephanie",,"=""""","=""""",2,3.72,,Kindle Edition,388,2023,,2023/11/17,2023/11/07,,,read,,,,1,0
199919937,Лев,Mikita Franko,"Franko, Mikita",Микита Франко,"=""""","=""""",5,4.83,Mikita Franko,Hardcover,663,2023,,2023/11/07,2023/10/17,,,read,"Лучшее, что я читала за этого год точно. А возможно и в жизни. Лев и Слава - любовь ",,,1,0
